project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Construction/Rehabilitation of Flood Control Structures along Rio Chico River, Brgy. Casongsong, Guimba, Nueva Ecija",NUEVA ECIJA,MIVICO BUILDERS & DEVELOPERS,"47,767,411.90","47,767,411.90",04/29/2024,12/09/2024,Region III,24CE0260,MIVICO BUILDERS & DEVELOPERS,NUEVA ECIJA
"Construciton of Flood Control Project Along Colo River , Maite Section , Phase IV-DMC, Hermosa, Bataan",BATAAN,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,"96,499,998.25","96,499,998.25",04/23/2024,12/09/2024,Region III,24CA0036,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,BATAAN
"Rehablitation/Completion of Drainage, Brgy. Ajat, Iguig, Cagayan",CAGAYAN,4MD JSL CONSTRUCTION INC. (FORMERLY: JUST SAFE LEADING (JSL) INNOVATIVE CREATION CORPORATION),"2,475,000.00","2,475,000.00",08/15/2024,12/09/2024,Region II,24BD0202,4MD JSL CONSTRUCTION INC. (FORMERLY: JUST SAFE LEADING (JSL) INNOVATIVE CREATION CORPORATION),CAGAYAN
"Construction of Reinforced Concrete Box Culvert along 8th Street, Caloocan City",CALOOCAN CITY,J. SIMEON CONSTRUCTION,"94,183,044.21","94,183,044.21",02/14/2024,12/09/2024,National Capital Region,24OD0029,J. SIMEON CONSTRUCTION,CALOOCAN CITY
"Construction of Saliok Drainage System, Saliok, Natonin, Mountain Province",MOUNTAIN PROVINCE,A.P.O. GENERAL CONSTRUCTION,"23,793,040.00","23,793,040.00",05/02/2024,12/09/2024,Cordillera Administrative Region,24PM0034,A.P.O. GENERAL CONSTRUCTION,MOUNTAIN PROVINCE
"Construction of Flood Control Structure along Gandara River, Barangay La Paz, San Jorge, Samar",SAMAR (WESTERN SAMAR),JUPA CONSTRUCTION,"47,991,241.99","47,991,241.99",04/18/2024,12/08/2024,Region VIII,24IJ0015,JUPA CONSTRUCTION,SAMAR (WESTERN SAMAR)
"Construction of Palapag Flood Control Structure, Palapag River Basin, Palapag, Northern Samar",NORTHERN SAMAR,JCL CONSTRUCTION AND SUPPLY,"48,988,827.59","48,988,827.59",04/25/2024,12/08/2024,Region VIII,24II0043,JCL CONSTRUCTION AND SUPPLY,NORTHERN SAMAR
"Construction of Tagbayani Flood Mitigation Structure, Barangay Tagbayani, Sison, Surigao del Norte",SURIGAO DEL NORTE,C.V. CONSTRUCTION & DEVELOPMENT,"29,104,565.61","29,104,565.61",04/30/2024,12/07/2024,Region XIII,24NG0048,C.V. CONSTRUCTION & DEVELOPMENT,SURIGAO DEL NORTE
"Construction of Gabayan River Flood Control, Candijay, Bohol",BOHOL,FUENTABUILT CONSTRUCTION CORP. / M.R. VARGAS CONSTRUCTION CORPORATION (FORMERLY: M.R. VARGAS CONSTRUCTION),"139,442,021.84","139,442,021.84",06/11/2024,12/07/2024,Region VII,24HB0008,FUENTABUILT CONSTRUCTION CORP. / M.R. VARGAS CONSTRUCTION CORPORATION (FORMERLY: M.R. VARGAS CONSTRUCTION),BOHOL
"Construction of Road Dike/Esplanade along Sitio Anduyanan, Paluan, Occidental Mindoro",OCCIDENTAL MINDORO,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,"289,495,739.75","289,495,739.75",03/02/2024,12/07/2024,Region IV-B,2.40E+36,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,OCCIDENTAL MINDORO
"Construction of Road Dike/Esplanade along Sitio Katanlawan, Paluan, Occidental Mindoro",OCCIDENTAL MINDORO,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"241,246,348.72","241,246,348.72",03/02/2024,12/07/2024,Region IV-B,2.40E+55,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,OCCIDENTAL MINDORO
"Construction of Digumased Flood Control Structure, Sta. 0 + 000 - Sta. 0 + 760, Dinapigue, Isabela",ISABELA,DALCON CONSTRUCTION,"96,500,000.00","96,500,000.00",06/19/2024,12/07/2024,Region II,24BH0272,DALCON CONSTRUCTION,ISABELA
"Construction of Barangay 2 Flood Control Structure, Section 1, Jones, Isabela",ISABELA,V.B. MANUBAY CONSTRUCTION / VBM CONSTRUCTION CORP.,"96,500,000.00","96,500,000.00",06/17/2024,12/07/2024,Region II,24BH0207,V.B. MANUBAY CONSTRUCTION / VBM CONSTRUCTION CORP.,ISABELA
"Construction of Dipangit Flood Control Structure, Section 2, Jones, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,500,000.00","96,500,000.00",05/20/2024,12/07/2024,Region II,24BH0195,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),ISABELA
"Construction of Dipangit Flood Control Structure, Section 1, Jones, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,500,000.00","96,500,000.00",05/24/2024,12/07/2024,Region II,24BH0196,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),ISABELA
"Construction of Hipusngo Flood Control Structure, Barangay Hipusngo, Baybay City, Leyte",LEYTE,C N E CONSTRUCTION,"48,476,248.01","48,476,248.01",05/27/2024,12/06/2024,Region VIII,24IG0076,C N E CONSTRUCTION,LEYTE
"Construction of Flood Mitigation Structure along Burabod Creek, Tigaon, Camarines Sur",CAMARINES SUR,ALRO CONSTRUCTION & DEVELOPMENT CORP.,"49,000,000.00","49,000,000.00",02/27/2024,12/06/2024,Region V,24FG0051,ALRO CONSTRUCTION & DEVELOPMENT CORP.,CAMARINES SUR
"Construction of Revetment along Carmona River, Brgy. Cabilang Baybay, Carmona, Cavite",CAVITE,OMNICON BUILDERS,"125,449,943.29","125,449,943.29",02/14/2024,12/06/2024,Region IV-A,24DQ0035,OMNICON BUILDERS,CAVITE
"Construction of Revetment along Julian River, Barangay Malagasang 2-A, West Side, Imus, Cavite",CAVITE,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","96,500,000.00","96,500,000.00",03/05/2024,12/06/2024,Region IV-A,24DF0153,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",CAVITE
"Construction of Seawall at Brgy. Simlong, Batangas City",BATANGAS,TRISTAN TEJADA CONSTRUCTION (FORMERLY: JOMATRIS CO,"96,500,000.00","96,500,000.00",05/13/2024,12/06/2024,Region IV-A,24DE0109,TRISTAN TEJADA CONSTRUCTION (FORMERLY: JOMATRIS CO,BATANGAS
"Construction of Flood Control Structure along Meycauyan River, Sta 04+900 - Sta 05+100 (Liputan-Constantino Section, Right side), Meycauayan, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC. / 729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","96,499,747.83","96,499,747.83",03/18/2024,12/06/2024,Region III,24CD0101,"L.R. TIQUI BUILDERS, INC. / 729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",BULACAN
"Construction/Improvement of Slope Protection Structure and Waterways, Brgy. San Vicente, Malolos City, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,728.26","98,999,728.26",05/21/2024,12/06/2024,Region III,24CC0448,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,BULACAN
"Construction of Slope Protection Structure along Nayom River, Sta.006+285.2 - Sta. 006+922.2, Maya, lnfanta, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,"96,500,000.00","96,500,000.00",02/12/2024,12/06/2024,Region I,24AG0091,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,PANGASINAN
"Construction of Flood Mitigation Structure, Muzon Riverwall (Phase 3), Barangay Muzon, Malabon City",MALABON CITY,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,"49,000,000.00","49,000,000.00",02/12/2024,12/06/2024,National Capital Region,24OA0036,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,MALABON CITY
"Construction of M'lang River Flood Control Project (Upstream of M'lang Bridge, Left Side), Barangay Poblacion A, M'lang, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"86,849,999.38","86,849,999.38",02/19/2024,12/05/2024,Region XII,24MI0029,JARGON CONSTRUCTION & SUPPLY,COTABATO (NORTH COTABATO)
"Construction of Revetment along Malasila River, Sta. 36+540 - Sta. 37+340 R/S, Barangay Luna Norte, Makilala, Cotabato",COTABATO (NORTH COTABATO),R.D. INTERIOR JUNIOR CONSTRUCTION / ARBY'S BUILDERS AND CONSTRUCTION SUPPLY CORP.,"48,778,642.42","48,778,642.42",03/21/2024,12/05/2024,Region XII,24MC0051,R.D. INTERIOR JUNIOR CONSTRUCTION / ARBY'S BUILDERS AND CONSTRUCTION SUPPLY CORP.,COTABATO (NORTH COTABATO)
"Construction of Flood Control Structure in the Municipality of San Roque, Northern Samar",NORTHERN SAMAR,EZJONES CONSTRUCTION INC.,"48,989,659.89","48,989,659.89",04/25/2024,12/05/2024,Region VIII,24II0067,EZJONES CONSTRUCTION INC.,NORTHERN SAMAR
"Construction of Flood Control Structures of Higalaman River (Upstream) along Bacolod North Road, San Carlos City, Negros Occidental",NEGROS OCCIDENTAL,RKVT CONSTRUCTION / WILKINSON CONSTRUCTION,"77,200,000.00","77,200,000.00",04/29/2024,12/05/2024,Negros Island Region,24GQ0028,RKVT CONSTRUCTION / WILKINSON CONSTRUCTION,NEGROS OCCIDENTAL
"Construction of Flood Control Structure along Dipili River, Barangay Dipili, Bayog, Zamboanga del Sur",ZAMBOANGA DEL SUR,BADSBRO CONSTRUCTION AND GENERAL MERCHANDISE,"39,200,000.00","39,200,000.00",05/09/2024,12/05/2024,Region IX,24JG0041,BADSBRO CONSTRUCTION AND GENERAL MERCHANDISE,ZAMBOANGA DEL SUR
"Construction of Aborlan River Waterway, (Downstream Leftside) Aborlan, Palawan",PALAWAN,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,"154,398,410.84","154,398,410.84",03/02/2024,12/05/2024,Region IV-B,2.40E+134,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,PALAWAN
"Construction of River Bank Protection Structure along Irawan River Upstream, Barangay Irawan, Puerto Princesa City, Palawan",PALAWAN,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,"194,927,222.83","194,927,222.83",03/09/2024,12/05/2024,Region IV-B,2.40E+181,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,PALAWAN
"Construction of Reinforced Concrete Slope Protection Structure along Abacan River, Upstream of Friendship Bridge, Barangay Anunas, Angeles City, Pampanga",PAMPANGA,TONKA CONSTRUCTION,"67,497,735.16","67,497,735.16",02/16/2024,12/05/2024,Region III,24CI0039,TONKA CONSTRUCTION,PAMPANGA
"Installation of Drainage System, Sapang Rd, Brgy. Apo Esquivel, Jaen, Nueva Ecija",NUEVA ECIJA,R.D. TALENS CONSTRUCTION AND TRADING,"24,495,731.43","24,495,731.43",05/17/2024,12/05/2024,Region III,24CF0088,R.D. TALENS CONSTRUCTION AND TRADING,NUEVA ECIJA
"Construction of Flood Control Structure, San Jose River, San Jose Del Monte City, Bulacan",BULACAN,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"96,498,249.74","96,498,249.74",02/14/2024,12/05/2024,Region III,24CD0054,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,BULACAN
"Construction of Drainage System along R. Delpan St. (Tejeron St. - Havana St.), Manila",CITY OF MANILA,JMK BUILDERS CONSTRUCTION,"29,394,984.53","29,394,984.53",02/20/2024,12/05/2024,National Capital Region,24OH0021,JMK BUILDERS CONSTRUCTION,CITY OF MANILA
"Construction of Flood Control Dike along Bulatukan River, Sta. 61+930 - Sta. 62+270 R/S, Barangay New Bulatukan, Makilala, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"48,755,000.00","48,755,000.00",02/20/2024,12/04/2024,Region XII,24MC0034,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,COTABATO (NORTH COTABATO)
"Construction of Flood Control Structure along Hijo River, Brgy. Madaum, Tagum City, Davao del Norte",DAVAO DEL NORTE,KANAWAY BUILDERS CORPORATION,"148,499,998.44","148,499,998.44",04/02/2024,12/04/2024,Region XI,24LC0073,KANAWAY BUILDERS CORPORATION,DAVAO DEL NORTE
"Construction of Danao CIS Protection Works along the Dam, Calbayog City, Samar",SAMAR (WESTERN SAMAR),MDP CONSTRUCTION SERVICES,"9,755,762.05","9,755,762.05",09/03/2024,12/04/2024,Region VIII,24IJ0010,MDP CONSTRUCTION SERVICES,SAMAR (WESTERN SAMAR)
"Construction of Banus River Control, Barangay Malayong-Barangay Manguyang Section, Gloria, Oriental Mindoro",ORIENTAL MINDORO,LUMEL GLENN CONSTRUCTION,"48,997,248.42","48,997,248.42",03/04/2024,12/04/2024,Region IV-B,24EI0072,LUMEL GLENN CONSTRUCTION,ORIENTAL MINDORO
"Construction of Flood Control Structure along Santa Maria River and Its Tributaries, Sta. 16+552-Sta. 16+852 (San Jose Patag - Pulong Buhangin Section), Santa Maria, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","96,499,408.89","96,499,408.89",02/14/2024,12/04/2024,Region III,24CD0035,"L.R. TIQUI BUILDERS, INC.",BULACAN
"Construction of Diarao Flood Control Structure, Section 1, Jones, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"96,484,520.00","96,484,520.00",06/10/2024,12/04/2024,Region II,24BH0220,JWU CONSTRUCTION AND SUPPLY,ISABELA
"Construction of Flood Control Struture, Barangay Tupax, Jones, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"96,489,542.98","96,489,542.98",06/06/2024,12/04/2024,Region II,24BH0159,JWU CONSTRUCTION AND SUPPLY,ISABELA
"Construction of Flood Control Structures Along Lake Mainit- Tubay River (Kalinawan-Karak-an Section), Package 4, Tubay, Agusan del Norte",AGUSAN DEL NORTE,EQUI-PARCO CONSTRUCTION COMPANY,"96,499,972.48","96,499,972.48",05/03/2024,12/03/2024,Region XIII,24N00138,EQUI-PARCO CONSTRUCTION COMPANY,AGUSAN DEL NORTE
"Construction of Flood Control Dike along Bulatukan River, Sta. 62+270 - Sta. 62+610 R/S, Barangay New Bulatukan, Makilala, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"48,755,000.00","48,755,000.00",02/20/2024,12/03/2024,Region XII,24MC0035,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,COTABATO (NORTH COTABATO)
"Construction of Flood Mitigation Structure along Sayre Highway (Downstream) of Mangima Bridge, Manolo Fortich, Bukidnon",BUKIDNON,BUILDZONE CONSTRUCTION AND SUPPLY,"6,860,000.00","6,860,000.00",06/21/2024,12/03/2024,Region X,24KC0115,BUILDZONE CONSTRUCTION AND SUPPLY,BUKIDNON
"Construction of Flood Control Structure along Catanauan River, Catanauan, Quezon",QUEZON,ST. TIMOTHY CONSTRUCTION CORPORATION,"96,500,000.00","96,500,000.00",02/14/2024,12/03/2024,Region IV-A,24DM0057,ST. TIMOTHY CONSTRUCTION CORPORATION,QUEZON
"Construction of Revetment along Zapote River, Phase I, Barangay Molino, Bacoor City, Cavite",CAVITE,R.K.F. BUILDERS / OMNICON BUILDERS,"113,365,255.65","113,365,255.65",03/08/2024,12/03/2024,Region IV-A,24DQ0025,R.K.F. BUILDERS / OMNICON BUILDERS,CAVITE
"Construction of Flood Control Structure along Dibabuyan River, Barangay Mabini, Santo Domingo, Nueva Ecija",NUEVA ECIJA,DGSARM BUILDERS INC. (FORMERLY: D.G. SARMENTA CONSTRUCTION),"47,767,129.00","47,767,129.00",05/08/2024,12/03/2024,Region III,24CE0259,DGSARM BUILDERS INC. (FORMERLY: D.G. SARMENTA CONSTRUCTION),NUEVA ECIJA
"Construction of Flood Control Project along Pulo-Almacen River, Phase IV-DMC, Hermosa, Bataan",BATAAN,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,"96,499,999.74","96,499,999.74",04/23/2024,12/03/2024,Region III,24CA0048,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,BATAAN
"Construction of Flood Mitigation Structure along Alaminos River , Sta. 009+772.9 - Sta. 010+172.9, Barangay Cayucay, Alaminos City, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,"96,500,000.00","96,500,000.00",02/23/2024,12/03/2024,Region I,24AG0011,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,PANGASINAN
"Construction of Bacsayan River Control Structure, Gregorio Del Pilar, Ilocos Sur",ILOCOS SUR,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,249,997.37","48,249,997.37",04/12/2024,12/03/2024,Region I,24AD0074,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,ILOCOS SUR
"Construction of Flood Control Structure along Ala River Purok Prinsipe, Kolambog, Sultan Kudarat.",SULTAN KUDARAT,KANAWAY BUILDERS CORPORATION,"48,112,936.13","48,112,936.13",05/15/2024,12/02/2024,Region XII,24MF0048,KANAWAY BUILDERS CORPORATION,SULTAN KUDARAT
"Construction of Flood Control Dike along Bulatukan River Sta. 63+370 - Sta. 63+710 L/S, Barangay Kisante, Makilala, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"48,753,175.91","48,753,175.91",02/20/2024,12/02/2024,Region XII,24MC0032,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,COTABATO (NORTH COTABATO)
"Construction of Flood Control Structure, Barangay Libtong, San Miguel, Leyte",LEYTE,JELM CONSTRUCTION CORP.,"96,434,585.40","96,434,585.40",07/26/2024,12/02/2024,Region VIII,24IC0081,JELM CONSTRUCTION CORP.,LEYTE
"Construction of Flood Mitigation Structure, Bito River (Upstream), Barangay Corbada, San Fernando, Masbate",MASBATE,A3 CONSTRUCTION & SUPPLY,"48,999,764.72","48,999,764.72",04/01/2024,12/02/2024,Region V,24FM0034,A3 CONSTRUCTION & SUPPLY,MASBATE
"Construction of Riverbank Protection Structure at Barangay San Miguel, Hagonoy, Bulacan",BULACAN,JUSTBILT BUILDERS,"77,194,570.60","77,194,570.60",02/07/2024,12/02/2024,Region III,24CC0019,JUSTBILT BUILDERS,BULACAN
"Construction of Riverbank Protection Structure along Balagtas River, Barangay Pulong Gubat, Balagtas, Bulacan",BULACAN,A.R.L. CONSTRUCTION,"96,499,907.13","96,499,907.13",02/07/2024,12/02/2024,Region III,24CC0004,A.R.L. CONSTRUCTION,BULACAN
"Construction of Flood Control Project along Pentor - Balsik River, Balsik Section, Phase IV-DMC, Hermosa, Bataan",BATAAN,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,"96,499,998.25","96,499,998.25",04/23/2024,12/02/2024,Region III,24CA0047,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,BATAAN
"Construction of Siffu River Flood Control Project (Barangay Antonino), Sta. 0+000 - Sta. 0+800, Burgos, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),"89,344,393.48","89,344,393.48",02/12/2024,12/02/2024,Region II,24BF0005,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),ISABELA
"Construction of Flood Control Structure along Cagayan River, Aguigican, Gattaran, Cagayan, Package 4",CAGAYAN,TJMT CONSTRUCTION,"96,490,000.00","96,490,000.00",02/22/2024,12/02/2024,Region II,24BB0076,TJMT CONSTRUCTION,CAGAYAN
"Construction of Flood Control, Asassi, Baggao, Cagayan",CAGAYAN,TJMT CONSTRUCTION,"48,239,325.19","48,239,325.19",02/22/2024,12/02/2024,Region II,24BB0083,TJMT CONSTRUCTION,CAGAYAN
"Construction of Flood Control at Zone 2, Barsat East, Baggao, Cagayan",CAGAYAN,TJMT CONSTRUCTION,"48,240,000.00","48,240,000.00",03/28/2024,12/02/2024,Region II,24BB0085,TJMT CONSTRUCTION,CAGAYAN
"Rehabilitation of Villamor Air Base Drainage System (Phase 4), Pasay City",PASAY CITY,FS CO BUILDERS AND SUPPLY,"96,393,504.48","96,393,504.48",05/06/2024,12/02/2024,National Capital Region,24OH0074,FS CO BUILDERS AND SUPPLY,PASAY CITY
"Construction of Flood Control Structure and Tributaries, Brgy. Commonwealth, Quezon City (Phase 8)",QUEZON CITY,MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS,"53,796,440.80","53,796,440.80",03/18/2024,12/02/2024,National Capital Region,24OF0127,MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS,QUEZON CITY
"Construction of Flood Mitigation Structure along Cabadbaran River, Barangay Mahaba, Cabadbaran City, Agusan del Norte",AGUSAN DEL NORTE,DATREBIL CONSTRUCTION & SUPPLY,"72,271,912.08","72,271,912.08",02/21/2024,12/01/2024,Region XIII,24NA0010,DATREBIL CONSTRUCTION & SUPPLY,AGUSAN DEL NORTE
"Construction of Flood Control Structure along Balatukan River, Package 2, Balingasag, Misamis Oriental",MISAMIS ORIENTAL,VEN RAY CONSTRUCTION CORPORATION,"29,399,467.33","29,399,467.33",04/01/2024,12/01/2024,Region X,24KK0056,VEN RAY CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction of Flood Control Structure along Balatukan River Brgy. Kibanban, Balingasag, Misamis Oriental (Phase II)",MISAMIS ORIENTAL,ROAD EDGE TRADING & DEVELOPMENT SERVICES / CHIU BUILDERS,"39,599,823.02","39,599,823.02",04/01/2024,12/01/2024,Region X,24KK0067,ROAD EDGE TRADING & DEVELOPMENT SERVICES / CHIU BUILDERS,MISAMIS ORIENTAL
"Construction of Flood Mitigation Structure along Jalaur River, San Enrique, Iloilo (Section 2)",ILOILO,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),"96,499,845.49","96,499,845.49",03/27/2024,12/01/2024,Region VI,24GG0150,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),ILOILO
"Construction of Flood Control Structure at Talayan Creek, Barangay Sto. Domingo, Quezon City",QUEZON CITY,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,"48,508,612.63","48,508,612.63",02/06/2024,12/01/2024,National Capital Region,24OF0026,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,QUEZON CITY
"Construction of Slope Protection along Ilugin Creek, Pasig City (Package 1)",PASIG CITY,11-16 CONSTRUCTION,"94,280,000.00","94,280,000.00",02/13/2024,12/01/2024,National Capital Region,24OB0083,11-16 CONSTRUCTION,PASIG CITY
"Construction of Flood Control Structure along Ibulao River (Mawanini Section) Sta. 329+300 - Sta. 330+275 (R/S), Hapid, Lamut, Ifugao",IFUGAO,DJY CONSTRUCTION,"48,250,000.00","48,250,000.00",03/18/2024,12/01/2024,Cordillera Administrative Region,24P00016,DJY CONSTRUCTION,IFUGAO
"Construction of Flood Mitigation Structure along Calagdo River, Barangay Tuaca, Basud Camarines Norte",CAMARINES NORTE,PARTIDO CONSTRUCTION & SUPPLY,"154,399,262.80","154,399,262.80",04/08/2024,11/30/2024,Region V,24F00191,PARTIDO CONSTRUCTION & SUPPLY,CAMARINES NORTE
"Construction of Flood Mitigation Structure along Minasag River, Barangay San Lorenzo and Barangay Rizal, Santa Elena, Camarines Norte",CAMARINES NORTE,HGG BUILDERS & SUPPLY,"154,399,195.23","154,399,195.23",04/08/2024,11/30/2024,Region V,24F00187,HGG BUILDERS & SUPPLY,CAMARINES NORTE
"Construction of Breakwater, Perez, Quezon",QUEZON,RAM BUILDERS,"9,797,696.23","9,797,696.23",03/12/2024,11/30/2024,Region IV-A,24DL0031,RAM BUILDERS,QUEZON
"Construction of Flood Control and Drainage Structure Section 2, Barangay Palawan, San Guillermo, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"87,802,963.92","87,802,963.92",07/05/2024,11/30/2024,Region II,24BH0276,JWU CONSTRUCTION AND SUPPLY,ISABELA
"Construction of Cagayan River Flood Management Project Anquiray (Downstream), Amulung, Cagayan",CAGAYAN,MEGAY CONSTRUCTION INC. (FORMERLY: MEGAY CONSTRUCTION) / VHT CAGAYAN BUILDERS CORPORATION,"67,550,000.00","67,550,000.00",05/09/2024,11/30/2024,Region II,24BD0063,MEGAY CONSTRUCTION INC. (FORMERLY: MEGAY CONSTRUCTION) / VHT CAGAYAN BUILDERS CORPORATION,CAGAYAN
"Construction of Flood Control Structure along Badoc River, Barangay Mabusag Sur, Badoc, Ilocos Norte",ILOCOS NORTE,"BADOC BUILDERS & SUPPLY, INC. (FORMERLY: BADOC BUILDER & SUPPLY","53,459,995.32","53,459,995.32",05/03/2024,11/30/2024,Region I,24A00424,"BADOC BUILDERS & SUPPLY, INC. (FORMERLY: BADOC BUILDER & SUPPLY",ILOCOS NORTE
"Construction of Revetment along Caraga River (Don Leon Balante Section), Caraga, Davao Oriental",DAVAO ORIENTAL,ECBJ EASTCOAST CONSTRUCTION,"48,249,988.81","48,249,988.81",04/22/2024,11/29/2024,Region XI,24LF0075,ECBJ EASTCOAST CONSTRUCTION,DAVAO ORIENTAL
"Construction of Talisay Shore Protection (Package 5), Barangay Talisay, San Fernando, Masbate",MASBATE,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,"48,999,991.64","48,999,991.64",04/08/2024,11/29/2024,Region V,24FM0012,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,MASBATE
"Construction/Improvement of Slope Protection Structure and Waterways, Brgy. Bunsuran, Pandi, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,713.40","98,999,713.40",04/23/2024,11/29/2024,Region III,24CC0298,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,BULACAN
"Construction of Flood Control Structure at Barangay San Bartolome, Quezon City (Phase II)",QUEZON CITY,AVE-MIRA CONSTRUCTION AND TRADING,"48,508,937.83","48,508,937.83",02/06/2024,11/29/2024,National Capital Region,24OF0021,AVE-MIRA CONSTRUCTION AND TRADING,QUEZON CITY
"Construction of Relief Pumping Station, Barangay Maysan, Valenzuela City",VALENZUELA CITY,TWO DIMENSION CONSTRUCTION,"38,367,629.52","38,367,629.52",02/27/2024,11/29/2024,National Capital Region,24OD0070,TWO DIMENSION CONSTRUCTION,VALENZUELA CITY
"Construction of Flood Control Structure along Surigao River, Sitio Kabalawan, Barangay Rizal, Surigao City, Surigao del Norte",SURIGAO DEL NORTE,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.","96,499,986.90","96,499,986.90",02/26/2024,11/28/2024,Region XIII,24NG0002,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",SURIGAO DEL NORTE
